Id,Prefix,ValidFrom,ValidUntil,Countries_Code
44,CR3,1900-01-01,2035-12-31,109
45,K6,1900-01-01,2035-12-31,110
46,GC,1900-01-01,2035-12-31,122
47,K[EJ]6,1900-01-01,2035-12-31,123
48,"[RU][AK]2,[RU]2F",1900-01-01,2035-12-31,126
49,"[RU]L,[RU]K7,RX7,R7@.,4[J-L]7,E[MN]7,E[U-Z]7",1900-01-01,2035-12-31,130
50,FB8X,1900-01-01,2035-12-31,131
51,KP6,1900-01-01,2035-12-31,134
52,KH[67],1900-01-01,2035-12-31,138
53,"[RU]M,U8[MNPQTV],UK8[MNPQTV]",1900-01-01,2035-12-31,135
54,"[RU]Q,[RU]K2[GQ],4[J-L]2[GQ],E[KM-ORU-Z]2[GQ],[RU]2[GQ]",1900-01-01,2035-12-31,145
55,ZS8,1900-01-01,2035-12-31,432
56,"[RU]P,[RU]K2[BP],[RU]2[BP]",1900-01-01,2035-12-31,146
57,CR9,1900-01-01,2035-12-31,152
58,FB8,1900-01-01,2035-12-31,438
59,"[KW]G6,KB6",1900-01-01,2035-12-31,167
60,KX6,1900-01-01,2035-12-31,169
61,KC6,1900-01-01,2035-12-31,173
62,K[DM]6,1900-01-01,2035-12-31,174
63,"[RU]O,[RU]K5O,[RU]5O",1900-01-01,2035-12-31,179
64,CR7,1900-01-01,2035-12-31,181
65,ZK1,1900-01-01,2006-06-30,191
66,KC6,1900-01-01,2035-12-31,22
67,K[GP]6,1900-01-01,2035-12-31,197
68,KA1,1900-01-01,2035-12-31,375
69,K4,1900-01-01,2035-12-31,202
70,[RU][AK][90],1900-01-01,2035-12-31,15
71,[RU][AK][1346],1900-01-01,2035-12-31,54
72,CR5,1900-01-01,2035-12-31,219
73,2035-12-31,1900-01-01,2006-06-27,296
74,"Z[R-U][1-7],H5,S[48],V9",1900-01-01,1994-02-28,462
75,2035-12-31,1900-01-01,2006-06-30,234
76,"VS7,4SY",1900-01-01,2035-12-31,315
77,C3,1900-01-01,2035-12-31,386
78,"[RU]J,[RU]K8[JKRSX],[RU]8[JKRSX]",1900-01-01,2035-12-31,262
79,ZD3,1900-01-01,2035-12-31,422
80,"[RU]H,[RU]K8[BEHWY],[RU]8[BEHWY]",1900-01-01,2035-12-31,280
81,"[UR][BTY]5,[UR]K5[A-NP-Z],[UR]5[A-NP-Z]",1900-01-01,2035-12-31,288
82,"UI,RI,UK8[A-DFGILOQTU-Z],4[JKL]8[A-DFGILOQTU-Z],E[KM-ORU-Z]8[A-DFGILOQTU-Z],U8[A-DFGILOQTU-Z]",1900-01-01,2035-12-31,292
83,K[BV]4,1900-01-01,2035-12-31,285
84,K[CW]6,1900-01-01,2035-12-31,297
85,EA9,1900-01-01,2035-12-31,302
86,KA6,1900-01-01,2035-12-31,339
87,PJ3,1900-01-01,1985-12-31,85
88,OK1,1900-01-01,1992-12-31,218
89,OK2,1900-01-01,1992-12-31,218
90,OK3,1900-01-01,1992-12-31,218
91,"KG1,XP1",1900-01-01,2035-12-31,237
92,2035-12-31,1900-01-01,2000-02-28,327
93,KA9,1900-01-01,2035-12-31,339
94,KA[2-58],1900-01-01,2035-12-31,339
95,KA7,1900-01-01,2035-12-31,339
96,KA6,1900-01-01,2035-12-31,339
97,KG6IF,1900-01-01,2035-12-31,178
98,KG6I[GJ],1900-01-01,2035-12-31,192
99,KA0,1900-01-01,2035-12-31,192
100,??4,1900-01-01,1991-10-14,296
101,??2,1900-01-01,1991-06-25,296
102,??5,1900-01-01,1991-09-07,296
103,??6,1900-01-01,2006-06-27,296
104,??3,1900-01-01,1991-06-25,296
105,H5,1900-01-01,1994-02-28,462
106,S4,1900-01-01,1994-02-28,462
107,S8,1900-01-01,1994-02-28,462
108,V9,1900-01-01,1994-02-28,462
109,VS9,1900-01-01,2035-12-31,492
110,FB#Y,1900-01-01,2035-12-31,13
111,4K1,1900-01-01,2035-12-31,13
112,KG6R,1900-01-01,2035-12-31,168
113,KG6S,1900-01-01,2035-12-31,169
114,KG6T,1900-01-01,2035-12-31,170
-1

