Id,Name,Nickname,Prefix,CQZone,ITUZone,Continent,Province,Timezone,ValidFrom,ValidUntil,Countries_Code
67,Western Siberia,UA9,"[A-Z][89][A-Z][A-Z].|[A-Z][89][A-Z][A-Z][A-Z].|[A-Z][A-Z][89][A-Z]",17,0,EU,,,1900-01-01,2035-12-31,54
68,AL;FL;GA;KY;NC;SC;TN;VA,W4,"[A-Z]4|[A-Z][A-Z]4",0,8,NA,,,1900-01-01,2035-12-31,291
69,AR;LA;MS;NM;OK;TX,W5,"[A-Z]5|[A-Z][A-Z]5",4,0,NA,,,1900-01-01,2035-12-31,291
70,AZ;ID;MT;NV;OR;UT;WA;WY,W7,"[A-Z]7|[A-Z][A-Z]7",0,0,NA,,,1900-01-01,2035-12-31,291
71,CA,W6,"[A-Z]6|[A-Z][A-Z]6",3,6,NA,,America/Los_Angeles,1900-01-01,2035-12-31,291
72,CO;IA;KS;MN;MO;ND;NE;SD,W0,"[A-Z]0|[A-Z][A-Z]0",4,7,NA,,,1900-01-01,2035-12-31,291
73,CT;MA;ME;NH;RI;VT,W1,"[A-Z]1|[A-Z][A-Z]1",5,8,NA,,America/New_York,1900-01-01,2035-12-31,291
74,DE;MD;D.C.;PA,W3,"[A-Z]3|[A-Z][A-Z]3",5,8,NA,,America/New_York,1900-01-01,2035-12-31,291
75,IL;IN;WI,W9,"[A-Z]9|[A-Z][A-Z]9",4,8,NA,,,1900-01-01,2035-12-31,291
76,MI;OH;WV,W8,"[A-Z]8|[A-Z][A-Z]8",0,8,NA,,,1900-01-01,2035-12-31,291
77,NJ;NY,W2,"[A-Z]2|[A-Z][A-Z]2",5,8,NA,,America/New_York,1900-01-01,2035-12-31,291
78,Agalega,,3B6,39,53,AF,,Indian/Mauritius,1900-01-01,2035-12-31,4
79,St. Brandon,3B7,3B7,39,53,AF,,Indian/Mauritius,1900-01-01,2035-12-31,4
80,Berat;Fier;Gramsh;Korca;Pogradec;Skrapar;Balish;Kucove;Devoll,ZA2,ZA2,15,28,EU,,Europe/Tirane,1900-01-01,2035-12-31,7
81,Dibre;Kruje;Lezhe;Mirdite;Mati;Kurbin;Bulqize,ZA4,ZA4,15,28,EU,,Europe/Tirane,1900-01-01,2035-12-31,7
82,Durres;Elbasan;Librazhde;Lushnje;Tirana;Kavaje;Peqin,ZA1,ZA1,15,28,EU,,Europe/Tirane,1900-01-01,2035-12-31,7
83,Kolonje;Gjirokastra;Permete;Sarande;Mallakaster;Vlora;Delvine,ZA3,ZA3,15,28,EU,,Europe/Tirane,1900-01-01,2035-12-31,7
84,Sazan I.;coastal Is.,ZA0,ZA0,15,28,EU,,Europe/Tirane,1900-01-01,2035-12-31,7
85,Tropoje;Kukes;Puke;Shkoder;Malesi e Madhe;Has,ZA5,ZA5,15,28,EU,,Europe/Tirane,1900-01-01,2035-12-31,7
86,Buenos Aires Prov.,LU[0-9]D,..[0-9][A-E],13,14,SA,D,America/Argentina/Buenos_Aires,1900-01-01,2035-12-31,100
87,Catamarca,LU[0-9]R,..[0-9]R,13,14,SA,R,America/Argentina/Catamarca,1900-01-01,2035-12-31,100
88,Chaco,LU[0-9]GA,..[0-9]G[A-O],13,14,SA,GA,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
89,Chubut,LU[0-9]W,..[0-9]W,13,16,SA,W,America/Argentina/Catamarca,1900-01-01,2035-12-31,100
90,Cordoba,LU[0-9]H,..[0-9]H,13,14,SA,H,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
91,Corrientes,LU[0-9]L,..[0-9]L,13,14,SA,L,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
92,Entre Rios,LU[0-9]J,..[0-9]J,13,14,SA,J,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
93,Formosa,LU[0-9]GP,..[0-9]G[P-Z],13,14,SA,GP,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
94,Jujuy,LU[0-9]T,..[0-9]T,13,14,SA,L,America/Argentina/Jujuy,1900-01-01,2035-12-31,100
95,La Pampa,LU[0-9]U,..[0-9]U,13,14,SA,U,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
96,La Rioja,LU[0-9]S,..[0-9]S,13,14,SA,S,America/Argentina/La_Rioja,1900-01-01,2035-12-31,100
97,Mendoza,LU[0-9]M,..[0-9]M,13,14,SA,M,America/Argentina/Mendoza,1900-01-01,2035-12-31,100
98,Misiones,LU[0-9]I,..[0-9]I,13,14,SA,I,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
99,Neuquen,LU[0-9]Y,..[0-9]Y,13,14,SA,Y,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
100,Rio Negro,LU[0-9]V,..[0-9]V,13,16,SA,V,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
101,Salta,LU[0-9]O,..[0-9]O,13,14,SA,O,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
102,San Juan,LU[0-9]P,..[0-9]P,13,14,SA,P,America/Argentina/San_Juan,1900-01-01,2035-12-31,100
103,San Luis,LU[0-9]Q,..[0-9]Q,13,14,SA,Q,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
104,Santa Cruz,LU[0-9]XA,..[0-9]X[A-O],13,16,SA,XA,America/Argentina/Rio_Gallegos,1900-01-01,2035-12-31,100
105,Santa Fe,LU[0-9]F,..[0-9]F,13,14,SA,F,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
106,Santiago del Estero,LU[0-9]N,..[0-9]N,13,14,SA,N,America/Argentina/Cordoba,1900-01-01,2035-12-31,100
107,Tierra del Fuego,LU[0-9]XP,..[0-9]X[P-Z],13,16,SA,XP,America/Argentina/Ushuaia,1900-01-01,2035-12-31,100
108,Tucuman,LU[0-9]K,..[0-9]K,13,14,SA,K,America/Argentina/Tucuman,1900-01-01,2035-12-31,100
109,Burgenland,OE4,OE4,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
110,Kaernten,OE8,OE8,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
111,Niederoesterreich,OE3,OE3,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
112,Oberoesterreich,OE5,OE5,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
113,Salzburg,OE2,OE2,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
114,Steiermark,OE6,OE6,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
115,Tirol,OE7,OE7,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
116,Vorarlberg,OE9,OE9,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
117,Wien,OE1,OE1,15,28,EU,,Europe/Vienna,1900-01-01,2035-12-31,206
118,excluding Baku and Nakhichevan,4J3,..3,21,29,AS,,Asia/Baku,1900-01-01,2035-12-31,18
119,Nakhichevan,4J2,..2,21,29,AS,NH,Asia/Baku,1900-01-01,2035-12-31,18
120,Corvo I.,CU9,CU9,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
121,Faial I.,CU7,CU7,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
122,Flores I.,CU8,CU8,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
123,Graciosa I.,CU4,CU4,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
124,Pico I.,CU6,CU6,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
125,Santa Maria I.,CU1,CU1,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
126,Sao Jorge I.,CU5,CU5,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
127,Sao Miguel I.,CU2,CU2,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
128,Terceira I.,CU3,CU3,14,36,EU,,Atlantic/Azores,1900-01-01,2035-12-31,149
129,Brestskaya oblast,EU3,..3,16,29,EU,BR,Europe/Minsk,1900-01-01,2035-12-31,27
130,Gomelskaya oblast,EU8,..8,16,29,EU,HO,Europe/Minsk,1900-01-01,2035-12-31,27
131,Grodnenskaya oblast,EU4,..4,16,29,EU,HR,Europe/Minsk,1900-01-01,2035-12-31,27
132,Minskaya oblast,EU2,..2,16,29,EU,MI,Europe/Minsk,1900-01-01,2035-12-31,27
133,Mogilyovskaya oblast,EU7,..7,16,29,EU,MA,Europe/Minsk,1900-01-01,2035-12-31,27
134,Vitebskaya oblast,EU6,..6,16,29,EU,VI,Europe/Minsk,1900-01-01,2035-12-31,27
135,Beni,CP8,CP8,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
136,Chuquisaca,CP2,CP2,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
137,Cochabamba,CP5,CP5,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
138,La Paz,CP1,CP1,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
139,Oruro,CP3,CP3,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
140,Pando,CP9,CP9,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
141,Potosi,CP4,CP4,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
142,Santa Cruz,CP6,CP6,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
143,Tarija,CP7,CP7,10,12,SA,,America/La_Paz,1900-01-01,2035-12-31,104
144,North Bulgaria,LZ2,LZ[2468],20,28,EU,,Europe/Sofia,1900-01-01,2035-12-31,212
145,South Bulgaria,LZ1,LZ[13579],20,28,EU,,Europe/Sofia,1900-01-01,2035-12-31,212
146,Cayman Brac I.,ZF9,ZF9,8,11,NA,,America/Cayman,1900-01-01,2035-12-31,69
147,Grand Cayman I.,ZF1,ZF1,8,11,NA,,America/Cayman,1900-01-01,2035-12-31,69
148,Little Cayman I.,ZF8,ZF8,8,11,NA,,America/Cayman,1900-01-01,2035-12-31,69
149,"Aisen;Los Lagos (Llanquihue, Isla Chiloe and Palena)",CE7,..7,12,16,SA,,America/Santiago,1900-01-01,2035-12-31,112
150,Antofagasta;Atacama;Tarapaca,CE1,..1,12,14,SA,,America/Santiago,1900-01-01,2035-12-31,112
151,Bio-Bio,CE5,..5,12,14,SA,,America/Santiago,1900-01-01,2035-12-31,112
152,Coquimbo;Valparaiso,CE2,..2,12,14,SA,,America/Santiago,1900-01-01,2035-12-31,112
153,La Araucania;Los Lagos (Valdivia and Osorno),CE6,..6,12,14,SA,,America/Santiago,1900-01-01,2035-12-31,112
154,Magallanes,CE8,..8,12,16,SA,,America/Santiago,1900-01-01,2035-12-31,112
155,Maule;O'Higgins,CE4,..4,12,14,SA,,America/Santiago,1900-01-01,2035-12-31,112
156,Reg. Metr. de Santiago,CE3,..3,12,14,SA,,America/Santiago,1900-01-01,2035-12-31,112
157,An Hui,BY6A,..6[A-H],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
158,Bei Jing,BY1,..1[A-X],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
159,Chong Qing,BY8G,..8[G-L],24,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
160,Fu Jian,BY5Q,..5[Q-X],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
161,Gan Su,BY9G,..9[G-L],23,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
162,Guang Dong,BY7I,..7[I-P],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
163,Guang Xi,BY7Q,..7[Q-X],24,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
164,Gui Zhou,BY8M,..8[M-R],24,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
165,"Hainan I., AS-129",BY7Y,..7[YZ],24,44,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
166,He Nan,BY6I,..6[I-P],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
167,Hei Bei,BY3M,..3[M-R],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
168,Hei Long Jiang,BY2A,..2[A-H],24,33,AS,,Asia/Harbin,1900-01-01,2035-12-31,318
169,Hu Bei,BY6Q,..6[Q-X],24,44,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
170,Hu Nan,BY7A,..7[A-H],24,44,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
171,Ji Lin,BY2I,..2[I-P],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
172,Jiang Su,BY4Q,..4[Q-X],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
173,Jiang Xi,BY5I,..5[I-P],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
174,Liao Ning,BY2Q,..2[Q-X],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
175,Nei Meng,BY3G,..3[G-L],23,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
176,Ning Xia,BY9M,..9[M-R],23,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
177,Qing Hai,BY9S,..9[S-X],23,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
178,Shaan Xi,BY9A,..9[A-F],24,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
179,Shan Dong,BY4I,..4[I-P],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
180,Shan Xi,BY3S,..3[S-X],24,44,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
181,Shang Hai,BY4A,..4[A-H],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
182,Si Chuan,BY8A,..8[A-F],24,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
183,Tian Jin,BY3A,..3[A-F],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
184,Xi Zang,BY0G,..0[G-L],23,42,AS,,Asia/Urumqi,1900-01-01,2035-12-31,318
185,Xin Jiang,BY0A,..0[A-F],23,42,AS,,Asia/Urumqi,1900-01-01,2035-12-31,318
186,Yun Nan,BY8S,..8[S-X],24,43,AS,,Asia/Chongqing,1900-01-01,2035-12-31,318
187,Zhe Jiang,BY5A,..5[A-H],24,44,AS,,Asia/Shanghai,1900-01-01,2035-12-31,318
188,Amazonas;Guainia;Vaupes,HK9,..9,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
189,Antioquia;Choco,HK4,..4,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
190,Arauca;Boyaca;Casanare;Santander,HK7,..7,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
191,Atlantico;Bolivar;Cordoba;Sucre,HK1,..1,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
192,Bogota;Cundinamarca;Guaviare;Meta,HK3,..3,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
193,Caldas;Huila;Quindio;Risaralda;Tolima,HK6,..6,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
194,Caqueta;Narino;Putumayo,HK8,..8,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
195,Cauca;Valle del Cauca,HK5,..5,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
196,Cesar;La Guajira;Magdalena;Norte de Santander,HK2,..2,9,12,SA,,America/Bogota,1900-01-01,2035-12-31,116
197,Ciego de Avila;Camaguey,CO7,"C[LMO]7|CO9[IJK][A-Z][A-Z]|T47",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
198,Holguin;Granma;Santiago de Cuba;Guantanamo;Las Tunas,CO8,"C[LMO]8|CO9[LMNO][A-Z][A-Z]|T48",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
199,Isla de la Juventud,CO4,"C[LMO]4|CO9D[A-Z][A-Z]|T44",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
200,La Habana,CO3,"C[LMO]3|CO9C[A-Z][A-Z]|T43",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
201,Matanzas,CO5,"C[LMO]5|CO9E[A-Z][A-Z]|T45",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
202,Pinar del Rio,CO1,"C[LMO]1|CO9A[A-Z][A-Z]|T41",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
203,Santa Clara;Cienfuegos;Sancti Spiritus,CO6,"C[LMO]6|CO9[FGH][A-Z][A-Z]|T46",8,11,NA,,America/Havana,1900-01-01,2035-12-31,70
204,Bandundu,9Q3,..3,36,52,AF,,Africa/Kinshasa,1900-01-01,2035-12-31,414
205,Bas Congo,9Q2,..2,36,52,AF,,Africa/Kinshasa,1900-01-01,2035-12-31,414
206,Equateur,9Q4,..4,36,52,AF,,Africa/Kinshasa,1900-01-01,2035-12-31,414
207,Katanga,9Q7,..7,36,52,AF,,Africa/Lubumbashi,1900-01-01,2035-12-31,414
208,N. Kivu;S. Kivu;Maniema,9Q6,..6,36,52,AF,,Africa/Lubumbashi,1900-01-01,2035-12-31,414
209,Occidental Kasai,9Q9,..9,36,52,AF,,Africa/Lubumbashi,1900-01-01,2035-12-31,414
210,Oriental Kasai,9Q8,..8,36,52,AF,,Africa/Lubumbashi,1900-01-01,2035-12-31,414
211,Province Orientale,9Q5,..5,36,52,AF,,Africa/Lubumbashi,1900-01-01,2035-12-31,414
212,Azua;San Juan;Elias Pina,HI6,HI6,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
213,Bahoruco;Barahona;Independencia;Pedernales,HI5,HI5,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
214,Dajabon; Montecristi;Valverde,HI4,HI4,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
215,Duarte;Espaillat;La Vega;Puerto Plata;Salcedo;Sanchez;Santiago;Santiago,HI3,HI3,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
216,Isla Beata,HI1,HI1,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
217,Isla Saona;Isla Catalina,HI2,HI2,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
218,La Altagracia;La Romana;El Seibo;San Pedro de Macoris,HI7,HI7,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
219,Samana; Maria Trinidad Sanchez,HI9,HI9,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
220,Santo Domingo;Peravia;San Cristobal,HI8,HI8,8,11,NA,,America/Santo_Domingo,1900-01-01,2035-12-31,72
221,Sabah,,..6,28,54,OC,,Asia/Kuching,1963-09-16,2035-12-31,46
