Zone,,Description
52,,"D2, TN, TR, 3C0, 9Q, 9U, 9X"
53,,"C9, D6, FH, FR (Reunion), FR (Gloriosos), FR (Juan de Nova), FR (Tromelin), S7, Z2, 3B6/7, 3B8, 3B9, 5H, 5R, 7Q, 9J"
54,,"V8, VK9 (Christmas), VK9 (Cocos-Keeling), YB1-7, YB8/9 (west of 130E), 9M2, 9M6/8, 9V"
55,,"VK4, VK8, VK9 (Willis)"
56,,"FK, VK9 (Mellish Reef), YJ, 3D2 (Fiji), 3D2 (Conway Reef), 3D2 (Rotuma)"
57,,"A2, V5, ZS, ZS8, 3DA, 7P"
58,,VK6
59,,"VK1, VK2, VK3, VK5, VK7"
60,,"VK9 (Lord Howe), VK9 (Norfolk), VK0 (Macquarie), ZL, ZL7, ZL8, ZL9"
61,,"KH1, KH3, KH4, KH5 (Palmyra but not Jarvis), KH5K (Kingman Reef), KH6/7, KH7K, T32 (Northern Line Is only)"
62,,"A3, FW, KH5 (Jarvis), KH8, T31, ZK1 (North Cooks), ZK2, ZK3, 5W"
63,,"CE0 (Easter), FO, T32 (Central & Southern Line Is), VR6, ZK1 (South Cooks)"
64,,"KC6/T8, KH2, KH0, V6 (west of 150E)"
65,,"C2, KH9, T2, T30, T33, V6 (east of 150E), V7"
66,,"ZD7, ZD8, ZD9"
67,,"Antarctica (north of 80S and between 20W and 40E), 3Y (Bouvet)"
68,,"FT (Amsterdam), FT (Crozet), FT (Kerguelen), VK0 (Heard)"
69,,Antarctica (north of 80S and between 40 and 100E)
70,,Antarctica (north of 80S and between 100 and 160E)
71,,Antarctica (north of 80S and between 160E and 140W)
72,,"Antarctica (north of 80S and between 140 and 80W), 3Y (Peter 1)"
73,,"Antarctica (north of 80S and between 80 and 20W), VP8 (S. Georgia), VP8 (S. Orkneys), VP8 (S. Sandwich), VP8 (S Shetlands)"
74,,Antarctica (between 80 and 90S South Pole)
75,,"JW (north of 80N), OX (north of 80N), R1F (FJL north of 80N), UA0 (Severnaya Zemlya north of 80N), VE8 (north of 80N)"
-1
